Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-07-21,Smile,2022,https://boxd.it/4yaPW9,,,,2022-10-03
2023-07-21,Triangle of Sadness,2022,https://boxd.it/4yaPrP,,,,2022-11-02
2023-01-09,M3GAN,2022,https://boxd.it/3FWmUp,,,,2023-01-08
2023-07-21,Bama Rush,2023,https://boxd.it/4yaHpr,0.5,,,2023-06-05
2023-07-21,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4yaHVd,4.5,,,2023-06-05
2023-07-21,Asteroid City,2023,https://boxd.it/4yaEqr,3,,,2023-06-19
2023-07-21,The Super Mario Bros. Movie,2023,https://boxd.it/4yaDXJ,,,,2023-06-21
2023-07-21,No Hard Feelings,2023,https://boxd.it/4yaDCL,4.5,,,2023-06-26
2023-07-21,Barbie,2023,https://boxd.it/4yafNF,4.5,,,2023-07-20
2023-07-31,Moonlight,2016,https://boxd.it/4Cs39Z,4,Yes,,2023-07-30
2023-08-08,The Super Mario Bros. Movie,2023,https://boxd.it/4FamgV,,Yes,,2023-08-06
2023-08-11,"Red, White & Royal Blue",2023,https://boxd.it/4G7Owv,,,,2023-08-10
2023-09-07,Pom Poko,1994,https://boxd.it/4OtVKb,3,,,2023-09-07
2023-09-14,Mean Girls,2004,https://boxd.it/4QtFSV,5,Yes,,2023-09-13
2023-09-15,Porco Rosso,1992,https://boxd.it/4QI0MR,4,,,2023-09-14
2023-09-22,My Neighbor Totoro,1988,https://boxd.it/4SCKab,,Yes,,2023-09-21
2023-09-22,The Tale of The Princess Kaguya,2013,https://boxd.it/4SFb31,4,,,2023-09-21
2023-09-24,In the Mood for Love,2000,https://boxd.it/4ThcoP,,,,2023-09-23
2023-09-28,Only Yesterday,1991,https://boxd.it/4UeEer,4,,,2023-09-27
2023-09-29,Bottoms,2023,https://boxd.it/4UDhfV,4,,,2023-09-28
2023-09-29,Shiva Baby,2020,https://boxd.it/4UGidn,,,,2023-09-28
2023-09-30,When Marnie Was There,2014,https://boxd.it/4UVDsj,3,,,2023-09-29
2023-10-03,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/4VXLkb,,Yes,,2023-10-02
2023-10-08,Whisper of the Heart,1995,https://boxd.it/4XE2P9,4,,,2023-10-07
2023-10-11,13 Going on 30,2004,https://boxd.it/4YN8XP,5,,,2023-10-10
2023-10-15,Bodies Bodies Bodies,2022,https://boxd.it/5049CL,3,,,2023-10-15
2023-10-16,Akira,1988,https://boxd.it/50rRoJ,4,,,2023-10-15
2023-10-17,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/50G5rF,,Yes,,2023-10-16
2023-10-17,But I'm a Cheerleader,1999,https://boxd.it/50LGlJ,,,,2023-10-16
2023-10-25,Bottoms,2023,https://boxd.it/53gTlx,4,Yes,,2023-10-24
2023-10-28,Grave of the Fireflies,1988,https://boxd.it/54f2aD,5,,,2023-10-27
2023-10-29,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/54qsVx,,Yes,,2023-10-28
2023-10-31,Sister Act,1992,https://boxd.it/55opYt,5,,,2023-10-30
2023-11-14,The Marvels,2023,https://boxd.it/59XaQv,4,,,2023-11-13
2023-11-15,The Holdovers,2023,https://boxd.it/5ag0Fb,4,,,2023-11-14
2023-11-22,No Hard Feelings,2023,https://boxd.it/5ckphJ,4.5,Yes,,2023-11-20
2023-11-22,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/5cqjM9,3.5,,,2023-11-21
2023-12-02,Renaissance: A Film by Beyoncé,2023,https://boxd.it/5fQHrN,5,,,2023-12-01
2023-12-04,Jojo Rabbit,2019,https://boxd.it/5gHsmT,4.5,,,2023-12-03
2023-12-06,Saltburn,2023,https://boxd.it/5hknCF,4,,,2023-12-05
2023-12-08,How to Lose a Guy in 10 Days,2003,https://boxd.it/5hVCqD,2.5,,,2023-12-07
2023-12-09,Poor Things,2023,https://boxd.it/5iaK09,4.5,,,2023-12-08
2023-12-12,The Boy and the Heron,2023,https://boxd.it/5jsyOV,4,,,2023-12-11
2023-12-13,Porco Rosso,1992,https://boxd.it/5jIL23,5,Yes,,2023-12-12
2023-12-16,Suzume,2022,https://boxd.it/5kJpYP,3,,,2023-12-15
2023-12-17,Your Name.,2016,https://boxd.it/5l3Zvz,4,,,2023-12-16
2023-12-20,From Up on Poppy Hill,2011,https://boxd.it/5mkfH3,3.5,,,2023-12-19
2023-12-23,Rat Race,2001,https://boxd.it/5nwJ2H,,,,2023-12-22
2023-12-26,Jingle All the Way,1996,https://boxd.it/5p2TVl,,,,2023-12-25
2023-12-27,Rudolph the Red-Nosed Reindeer,1964,https://boxd.it/5pEyhl,,,,2023-12-26
2023-12-28,May December,2023,https://boxd.it/5qdSjV,3.5,,,2023-12-27
2023-12-29,Juno,2007,https://boxd.it/5qOYKx,4.5,Yes,,2023-12-28
2023-12-31,The Zone of Interest,2023,https://boxd.it/5rRQLd,3.5,,"on film, with taylor, in theaters, vista theater",2023-12-30
2023-12-31,Paprika,2006,https://boxd.it/5rWyLp,4,,with taylor,2023-12-30
2024-01-01,Bodies Bodies Bodies,2022,https://boxd.it/5sjd1h,3,Yes,"with taylor, with kate",2023-12-31
2024-01-02,Tampopo,1985,https://boxd.it/5teRnL,4.5,,with taylor,2024-01-01
2024-01-03,All of Us Strangers,2023,https://boxd.it/5tRXqz,4.5,,"with kate, with taylor, in theaters",2024-01-02
2024-01-04,Legally Blonde,2001,https://boxd.it/5ur4WH,4,Yes,with taylor,2024-01-03
2024-01-04,Aftersun,2022,https://boxd.it/5uuQ87,4.5,,"with taylor, with kate",2024-01-03
2024-01-06,Bottoms,2023,https://boxd.it/5vLzuj,4,Yes,"with taylor, with kate, with liza",2024-01-05
2024-01-06,Easy A,2010,https://boxd.it/5vNcEp,3,,with taylor,2024-01-05
2024-01-07,Jiro Dreams of Sushi,2011,https://boxd.it/5wzu41,,,"with taylor, with kate",2024-01-06
2024-01-07,Mamma Mia!,2008,https://boxd.it/5wBIgf,3,,"with taylor, with kate",2024-01-06
2024-01-08,Mad Max: Fury Road,2015,https://boxd.it/5xk8u1,2.5,,,2024-01-07
2024-01-09,Gladiator,2000,https://boxd.it/5xTeBH,4,,,2024-01-08
2024-01-10,2001: A Space Odyssey,1968,https://boxd.it/5ypqdr,,,,2024-01-09
2024-01-11,Over the Garden Wall,2014,https://boxd.it/5yWgm5,4,,,2024-01-10
2024-01-11,Ice Merchants,2022,https://boxd.it/5yWyIN,,,,2024-01-10
2024-01-12,The Lobster,2015,https://boxd.it/5zpUSt,3.5,,with kate,2024-01-11
2024-01-13,Bottoms,2023,https://boxd.it/5zZcGF,4,Yes,"with kate, with yen, with kathy",2024-01-12
2024-01-14,Migration,2023,https://boxd.it/5Azz2P,2,,"with kate, in theaters, with yen",2024-01-13
2024-01-16,Millennium Actress,2001,https://boxd.it/5BJIAl,4.5,,,2024-01-15
2024-01-17,The Worst Person in the World,2021,https://boxd.it/5ChNqt,4.5,,,2024-01-16
2024-01-18,Princess Mononoke,1997,https://boxd.it/5CE4uh,5,Yes,,2024-01-17
2024-01-18,Her,2013,https://boxd.it/5CK2OB,3.5,Yes,,2024-01-17
2024-01-19,The Lighthouse,2019,https://boxd.it/5DbwBB,4,,with kate,2024-01-18
2024-01-20,Fantastic Mr. Fox,2009,https://boxd.it/5DFMt9,4,,with kate,2024-01-19
2024-01-21,Soul,2020,https://boxd.it/5E5kzF,5,Yes,,2024-01-20
2024-01-21,The Dark Knight Rises,2012,https://boxd.it/5EfTTb,3,Yes,with kate,2024-01-20
2024-01-30,Dune,2021,https://boxd.it/5IQ5gt,4.5,Yes,,2024-01-29
2024-01-31,Belle,2021,https://boxd.it/5JeSiB,3,,,2024-01-30
2024-02-03,Perfect Blue,1997,https://boxd.it/5KyA8x,,,,2024-02-02
2024-02-06,Tampopo,1985,https://boxd.it/5M27rp,4.5,Yes,with kate,2024-02-05
2024-02-09,Castle in the Sky,1986,https://boxd.it/5N9vI3,4,Yes,,2024-02-07
2024-02-09,Anatomy of a Fall,2023,https://boxd.it/5NfDAj,5,,in theaters,2024-02-08
2024-02-14,Seven Samurai,1954,https://boxd.it/5PwuVJ,,,,2024-02-13
2024-02-17,Freaky Friday,2003,https://boxd.it/5QNdYJ,,,"with kate, with kathy",2024-02-16
2024-02-20,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/5SrQgl,4.5,,with kate,2024-02-19
2024-02-22,Perfect Days,2023,https://boxd.it/5T9oWr,4,,"in theaters, with kate",2024-02-21
2024-02-24,The Matrix,1999,https://boxd.it/5U5F2L,5,,,2024-02-23
2024-02-25,10 Things I Hate About You,1999,https://boxd.it/5UC9RX,3.5,,,2024-02-24
2024-02-26,Madame Web,2024,https://boxd.it/5V9Oe9,,,"in theaters, with yen, with kate",2024-02-25
2024-03-03,Mary and The Witch's Flower,2017,https://boxd.it/5XFmPj,3,,,2024-03-02
2024-03-04,Society of the Snow,2023,https://boxd.it/5Y15G9,5,,,2024-03-03
2024-03-06,Mean Girls,2024,https://boxd.it/5ZmU5J,3,,with kate,2024-03-05
2024-03-10,The Secret World of Arrietty,2010,https://boxd.it/60FLtJ,3.5,,,2024-03-09
2024-03-11,The Cat Returns,2002,https://boxd.it/61ET6v,4,,,2024-03-10
2024-03-15,Dune: Part Two,2024,https://boxd.it/63l8yx,5,,"in theaters, with kate, on film, with taylor, in imax",2024-03-14
2024-03-16,Kung Fu Hustle,2004,https://boxd.it/63V3Dz,4,,with taylor,2024-03-15
2024-03-17,Waking Life,2001,https://boxd.it/64shp3,0.5,,"dnf, in theaters, on film, with taylor, cinematheque, los feliz theater",2024-03-16
2024-03-19,John Wick,2014,https://boxd.it/655Nv1,3,,,2024-03-17
2024-03-25,Dune: Part Two,2024,https://boxd.it/68bWj3,5,Yes,"with kate, with yen, in theaters",2024-03-24
2024-03-28,Bring It On,2000,https://boxd.it/69uZmB,3.5,,with liza,2024-03-27
2024-03-31,Scott Pilgrim vs. the World,2010,https://boxd.it/6b0eJV,3.5,,with kate,2024-03-30
2024-04-02,Good Time,2017,https://boxd.it/6c5Tdv,2.5,,with kate,2024-04-01
2024-04-04,Fantastic Planet,1973,https://boxd.it/6cWdfZ,4.5,,,2024-04-03
2024-04-05,The Red Turtle,2016,https://boxd.it/6diBAB,3.5,,,2024-04-04
2024-04-05,Querelle,1982,https://boxd.it/6dkAz7,,,,2024-04-04
2024-04-06,Confessions of a Shopaholic,2009,https://boxd.it/6dIU8j,3,,with kate but she fell asleep,2024-04-05
2024-04-07,Black Swan,2010,https://boxd.it/6ee6KB,4.5,,with kate,2024-04-06
2024-04-08,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,https://boxd.it/6eL10J,3.5,,with kate,2024-04-07
2024-04-09,Death Becomes Her,1992,https://boxd.it/6f9GgV,4,,with kate but she fell asleep,2024-04-08
2024-04-12,Fifty Shades of Grey,2015,https://boxd.it/6gewi7,1,,"with kate but she fell asleep, with kathy, with hira",2024-04-11
2024-04-13,Some Like It Hot,1959,https://boxd.it/6gxDC7,4.5,,,2024-04-12
2024-04-13,The Greatest Hits,2024,https://boxd.it/6gBciR,1,,with kate,2024-04-12
2024-04-13,All of Us Strangers,2023,https://boxd.it/6gDrgZ,4.5,Yes,with kate but she fell asleep,2024-04-12
2024-04-17,Tokyo Godfathers,2003,https://boxd.it/6i2ZZD,4,,,2024-04-16
2024-04-17,The First Wives Club,1996,https://boxd.it/6igyCP,3.5,,with kate but she fell asleep,2024-04-16
2024-04-18,La Chimera,2023,https://boxd.it/6iwykj,4.5,,"with kate, in theaters",2024-04-17
2024-04-18,Heathers,1989,https://boxd.it/6iAt5L,3.5,,with kate,2024-04-17
2024-04-20,TÁR,2022,https://boxd.it/6jjU0j,3,,,2024-04-19
2024-04-21,God's Own Country,2017,https://boxd.it/6jL1EJ,3.5,,,2024-04-20
2024-04-22,Dune: Part Two,2024,https://boxd.it/6k8o7f,5,Yes,"with kate, with yen, in theaters, on film, in imax",2024-04-21
2024-04-23,Happy Together,1997,https://boxd.it/6kBnwL,3,,,2024-04-22
2024-04-26,Caravaggio,1986,https://boxd.it/6lD5Ov,1.5,,,2024-04-25
2024-04-26,"The Adventures of Priscilla, Queen of the Desert",1994,https://boxd.it/6lETK1,4,,,2024-04-25
