Watched Date,Film,Released,My Rating,Rewatch
2022-10-03,Smile,2022,,False
2022-11-02,Triangle of Sadness,2022,,False
2023-01-08,M3GAN,2022,,False
2023-06-05,Bama Rush,2023,0.5,False
2023-06-05,Spider-Man: Across the Spider-Verse,2023,4.5,False
2023-06-19,Asteroid City,2023,3.0,False
2023-06-21,The Super Mario Bros. Movie,2023,,False
2023-06-26,No Hard Feelings,2023,4.5,False
2023-07-20,Barbie,2023,4.5,False
2023-07-30,Moonlight,2016,4.0,True
2023-08-06,The Super Mario Bros. Movie,2023,,True
2023-08-10,"Red, White & Royal Blue",2023,,False
2023-09-07,Pom Poko,1994,3.0,False
2023-09-13,Mean Girls,2004,5.0,True
2023-09-14,Porco Rosso,1992,4.0,False
2023-09-21,My Neighbor Totoro,1988,,True
2023-09-21,The Tale of The Princess Kaguya,2013,4.0,False
2023-09-23,In the Mood for Love,2000,,False
2023-09-27,Only Yesterday,1991,4.0,False
2023-09-28,Bottoms,2023,4.0,False
2023-09-28,Shiva Baby,2020,,False
2023-09-29,When Marnie Was There,2014,3.0,False
2023-10-02,Harry Potter and the Half-Blood Prince,2009,,True
2023-10-07,Whisper of the Heart,1995,4.0,False
2023-10-10,13 Going on 30,2004,5.0,False
2023-10-15,Bodies Bodies Bodies,2022,3.0,False
2023-10-15,Akira,1988,4.0,False
2023-10-16,Harry Potter and the Deathly Hallows: Part 1,2010,,True
2023-10-16,But I'm a Cheerleader,1999,,False
2023-10-24,Bottoms,2023,4.0,True
2023-10-27,Grave of the Fireflies,1988,5.0,False
2023-10-28,Harry Potter and the Deathly Hallows: Part 2,2011,,True
2023-10-30,Sister Act,1992,5.0,False
2023-11-13,The Marvels,2023,4.0,False
2023-11-14,The Holdovers,2023,4.0,False
2023-11-20,No Hard Feelings,2023,4.5,True
2023-11-21,The Hunger Games: The Ballad of Songbirds & Snakes,2023,3.5,False
2023-12-01,Renaissance: A Film by Beyoncé,2023,5.0,False
2023-12-03,Jojo Rabbit,2019,4.5,False
2023-12-05,Saltburn,2023,4.0,False
2023-12-07,How to Lose a Guy in 10 Days,2003,2.5,False
2023-12-08,Poor Things,2023,4.5,False
2023-12-11,The Boy and the Heron,2023,4.0,False
2023-12-12,Porco Rosso,1992,5.0,True
2023-12-15,Suzume,2022,3.0,False
2023-12-16,Your Name.,2016,4.0,False
2023-12-19,From Up on Poppy Hill,2011,3.5,False
2023-12-22,Rat Race,2001,,False
2023-12-25,Jingle All the Way,1996,,False
2023-12-26,Rudolph the Red-Nosed Reindeer,1964,,False
2023-12-27,May December,2023,3.5,False
2023-12-28,Juno,2007,4.5,True
2023-12-30,The Zone of Interest,2023,3.5,False
2023-12-30,Paprika,2006,4.0,False
2023-12-31,Bodies Bodies Bodies,2022,3.0,True
2024-01-01,Tampopo,1985,4.5,False
2024-01-02,All of Us Strangers,2023,4.5,False
2024-01-03,Legally Blonde,2001,4.0,True
2024-01-03,Aftersun,2022,4.5,False
2024-01-05,Bottoms,2023,4.0,True
2024-01-05,Easy A,2010,3.0,False
2024-01-06,Jiro Dreams of Sushi,2011,,False
2024-01-06,Mamma Mia!,2008,3.0,False
2024-01-07,Mad Max: Fury Road,2015,2.5,False
2024-01-08,Gladiator,2000,4.0,False
2024-01-09,2001: A Space Odyssey,1968,,False
2024-01-10,Over the Garden Wall,2014,4.0,False
2024-01-10,Ice Merchants,2022,,False
2024-01-11,The Lobster,2015,3.5,False
2024-01-12,Bottoms,2023,4.0,True
2024-01-13,Migration,2023,2.0,False
2024-01-15,Millennium Actress,2001,4.5,False
2024-01-16,The Worst Person in the World,2021,4.5,False
2024-01-17,Princess Mononoke,1997,5.0,True
2024-01-17,Her,2013,3.5,True
2024-01-18,The Lighthouse,2019,4.0,False
2024-01-19,Fantastic Mr. Fox,2009,4.0,False
2024-01-20,Soul,2020,5.0,True
2024-01-20,The Dark Knight Rises,2012,3.0,True
2024-01-29,Dune,2021,4.5,True
2024-01-30,Belle,2021,3.0,False
2024-02-02,Perfect Blue,1997,,False
2024-02-05,Tampopo,1985,4.5,True
2024-02-07,Castle in the Sky,1986,4.0,True
